raw data,heart rate
-0.0251531,70.727
-0.030791,74.4535
-0.0330168,75.7631
-0.0412263,71.363
-0.0526755,66.2801
-0.0586304,68.5809
-0.062167,71.3104
-0.0660345,66.7117
-0.064401,63.3983
-0.0645389,65.5383
-0.067081,69.5153
-0.0724938,67.2323
-0.0839898,62.3919
-0.0795319,61.9805
-0.0681483,66.7459
-0.066792,69.3644
-0.0606929,66.8013
-0.0540098,65.3243
-0.0515442,69.9646
-0.0284791,64.0508
-0.0260192,61.9613
-0.0314773,65.1349
-0.0222922,72.8458
-0.00956069,69.6801
-0.0048636,63.4989
0.00675826,66.6997
0.0352471,72.4267
0.0591493,67.2646
0.0764283,60.3296
0.0963724,62.2184
0.125029,69.3743
0.152096,68.3822
0.184904,62.7028
0.2222,68.0438
0.236346,74.9572
0.236915,69.1476
0.248522,65.4212
0.2558,67.742
0.243371,73.9902
0.23048,70.5079
0.196875,63.1287
0.166794,60.6888
0.167866,63.9721
0.178513,70.8813
0.214529,67.0644
0.242829,62.9945
0.217696,65.2619
0.161049,72.516
0.107264,77.1304
0.055916,70.1208
0.00593014,64.8723
-0.0170701,67.2631
-0.0263013,73.3848
-0.0385401,69.5613
-0.065384,66.6695
-0.108394,78.3714
-0.16298,86.0732
-0.205286,80.8413
-0.241716,79.9879
-0.234485,81.6773
-0.218947,73.2653
-0.216529,66.5428
-0.214991,66.366
-0.209041,69.7771
-0.219428,74.708
-0.223849,68.4971
-0.223937,65.678
-0.225201,69.7047
-0.214692,74.7133
-0.204855,65.3704
-0.191136,61.4182
-0.169621,64.1552
-0.15354,70.3861
-0.130546,67.5173
-0.110945,64.8815
-0.0827032,65.1398
-0.0614555,68.5839
-0.042767,66.935
-0.00812156,61.3128
0.0244256,59.2806
0.0411889,64.9721
0.0516235,60.7576
0.0609762,61.5583
0.0612215,65.9121
0.0567922,71.2429
0.0564871,65.0809
0.060686,59.1652
0.0584369,60.3975
0.0548041,63.9098
0.0653656,58.4845
0.0780224,58.4242
0.0774339,63.3465
0.0654083,59.6222
0.0576659,61.2207
0.0634493,68.2628
0.0596313,72.369
0.0471926,64.1069
0.0382759,59.144
0.025925,62.3399
0.0225994,69.6844
0.0111416,59.9746
0.0172755,58.0867
0.0206022,59.602
0.0169038,66.1554
0.0105376,60.1211
0.0179969,61.7538
0.0243797,70.5251
0.0191527,78.0916
0.00861244,69.118
0.00439556,
0.0106949,
0.0101805,
0.00526592,
0.0155188,
0.0155197,
0.00363829,
0.00591769,
0.00389932,
-0.00760474,
-0.0119348,
-0.0123353,
0.000573113,
0.00364292,
0.0018855,
-0.000496221,
0.00555616,
0.00434216,
0.000713882,
-0.00290343,
-0.0121754,
-0.00930244,
-0.0122482,
-0.0150257,
-0.00452733,
0.00435863,
0.0101758,
0.0104967,
0.0077492,
0.00727363,
0.000169786,
0.00488616,
0.00799127,
0.0174147,
0.0059696,
-0.0101615,
-0.00897028,
0.00501178,
0.00265541,
0.00596855,
0.0047555,
0.00597408,
0.0089762,
-0.0017744,
-0.00588845,
-0.0137238,
-0.0142773,
-0.00107685,
0.000469736,
0.00266029,
-0.000331967,
-0.00786067,
0.00531828,
0.00683858,
-0.00427157,
-0.00665178,
-0.0020829,
-0.00529188,
-0.000743987,
-0.0049462,
-0.00462929,
-0.000441115,
-0.0012827,
0.00482064,
0.0151173,
0.0150425,
-0.00301038,
-0.0142821,
-0.00809277,
2.18E-05,
-0.00644533,
-0.00629542,
-0.00357476,
0.00139235,
0.00310313,
-0.00685816,
-0.00907302,
-0.00127668,
-0.00175643,
0.00259481,
0.000448217,
-0.00366605,
-0.00537971,
-0.00598848,
-0.00306609,
-0.00243953,
-0.00718476,
-0.00678429,
-0.0114346,
0.00685919,
0.01217,
0.0035255,
-0.00354018,
-0.00902838,
-0.00355436,
-0.00265469,
-0.0116708,
-0.0090805,
-0.0031379,
-0.00759889,
-0.00822311,
-0.00420163,
-0.00200749,
-0.00940806,
-0.0123238,
-0.00832635,
-0.00146017,
-0.00272791,
-0.00840563,
-0.0116943,
-0.0151806,
-0.0195089,
-0.0193355,
-0.00640365,
-0.00304164,
0.00321545,
-0.00105957,
0.000320705,
0.000888094,
0.00825356,
0.0104472,
0.00812153,
-0.00486727,
-0.00521061,
0.00515515,
0.00406529,
0.00948818,
0.0170601,
0.0101182,
0.00339437,
0.00805994,
0.0103649,
0.0198623,
0.0151959,
0.00769869,
0.00368678,
0.000899363,
0.00144487,
0.00888807,
0.0101254,
0.0087216,
0.0155233,
0.0253562,
0.0181579,
0.0203105,
0.0148259,
0.0135216,
0.0118703,
0.00906662,
0.0130439,
0.0200836,
0.0209654,
0.0192529,
0.0198043,
0.0130751,
0.0162222,
0.0266594,
0.0238376,
0.0169836,
0.0217974,
0.0209656,
0.0214492,
0.019366,
0.021029,
0.0204518,
0.0210339,
0.0224521,
0.0229266,
0.019868,
0.0220143,
0.0243476,
0.0179658,
0.0161366,
0.0306706,
0.0295226,
0.0193236,
0.0288742,
0.027584,
0.0203019,
0.020453,
0.0199391,
0.0177813,
0.0204446,
0.024198,
0.0238538,
0.0182695,
0.00549271,
-0.00121718,
-0.00268027,
0.0124202,
0.00782361,
0.0110291,
0.00794636,
0.00228588,
-0.00159429,
-0.00289612,
-0.010531,
-0.00945953,
-0.00859238,
-0.0173253,
-0.0207793,
-0.0239799,
-0.0245078,
-0.0233416,
-0.023401,
-0.0216178,
-0.016703,
-0.0167532,
-0.0175652,
-0.0118609,
-0.010324,
-0.0233142,
-0.0183066,
-0.0024233,
-0.00349973,
-0.0171674,
-0.0241692,
-0.0222397,
-0.0180132,
-0.00776727,
-0.00169582,
0.00230615,
-0.0111334,
-0.0112654,
-0.00326645,
-0.0139975,
-0.0241985,
-0.0260993,
-0.0221244,
-0.0100052,
-0.0148217,
-0.0237862,
-0.0284803,
-0.0164398,
-0.00821305,
-0.00946029,
-0.00723159,
-0.00848172,
-0.00916124,
-0.00311694,
0.00496191,
0.00310374,
-0.000596557,
-0.00645922,
-0.00460953,
-0.00556316,
-0.000254876,
0.00290302,
-0.000779965,
0.00180643,
0.00192558,
-0.00365726,
-0.00798194,
-0.00263211,
-0.000229167,
3.69E-05,
-0.00264219,
-0.00697143,
-0.00243165,
-0.0032634,
-0.00331718,
-0.00275483,
-0.0138753,
-0.0135376,
-0.00675843,
-0.00421878,
-0.00138775,
0.00367631,
0.00741293,
0.00270149,
0.000222351,
-0.00665953,
-0.0130894,
-0.00175191,
0.00340272,
-0.00749686,
-0.0172968,
-0.00690114,
-0.00689484,
-0.00837693,
-0.00131355,
-0.00366683,
0.00139397,
0.00140902,
0.00220498,
0.00167908,
-0.0030805,
-0.00721786,
-0.00717164,
-0.0087664,
-0.00585147,
-0.00716424,
-0.00477389,
0.00698483,
0.0130633,
0.0029441,
-0.00751249,
-0.0056827,
-0.007748,
-0.0107943,
-0.00543459,
-0.000244541,
0.0112499,
0.00768861,
0.00638789,
0.0109088,
0.00604039,
-0.00449463,
-0.00435107,
-0.000163245,
-0.00099292,
-0.00619229,
-0.00815504,
-0.00348237,
0.000543873,
0.00521868,
0.0119988,
0.0098804,
-0.00437282,
-0.00616282,
-0.00827364,
-0.00520286,
-0.00487969,
-0.00293449,
0.00581149,
0.00825059,
0.00503043,
-0.000126663,
0.00135646,
-0.00573162,
-0.00585522,
-0.00241238,
0.00686275,
0.00983345,
0.00569085,
0.00301205,
0.00163548,
0.000590397,
0.00165713,
-0.00293183,
0.000740828,
0.0015092,
0.00082986,
0.00129215,
0.00224885,
0.00240539,
-0.00293119,
-0.00227119,
-0.00192593,
-0.00513205,
-0.00250372,
-0.00277981,
-0.00191488,
0.00802027,
0.00453135,
0.00315331,
0.00776954,
0.00834624,
0.00213175,
-0.00245955,
0.00266301,
0.000992371,
-0.00116097,
0.00267531,
0.00796927,
0.0085707,
-0.00280338,
0.00168051,
-0.00387065,
-0.0110426,
-0.00883159,
-0.00759524,
-0.00701035,
0.00133767,
0.00029484,
-0.000267647,
0.000297371,
-0.0012467,
-0.00975465,
-0.00726353,
0.00493223,
0.0132395,
0.0105381,
0.0031399,
-0.0167224,
-0.0194339,
-0.0075833,
0.00766398,
0.00964037,
0.00967438,
0.0105177,
0.00440329,
7.04E-05,
-0.00199491,
-0.00599955,
-0.00288067,
0.00121281,
-0.00310461,
0.00115934,
0.00380995,
0.00112556,
0.00119785,
0.000628736,
-0.00559817,
-0.00453648,
0.00171025,
0.00165247,
0.00160158,
0.0044706,
0.00443387,
0.00440436,
0.00244025,
0.00291093,
0.00257994,
-0.00227469,
-0.00226693,
0.00373604,
0.00165532,
-0.00252149,
-0.00167397,
0.0020941,
-0.000603269,
-0.00555865,
-0.00532811,
-0.000235447,
0.00907182,
0.0044688,
-0.00223149,
0.00288765,
0.0044521,
0.00537412,
0.00274004,
0.000918297,
-0.00284322,
-0.00806025,
-0.00453905,
0.000922096,
0.00217202,
0.00309265,
0.0111259,
0.0104105,
0.00401856,
-0.00255041,
-0.00849013,
-0.00571227,
-0.00473874,
0.00219486,
-0.00417228,
-0.0015115,
0.00337692,
-0.00488412,
-0.00752622,
-0.000183519,
-0.00486788,
-0.014624,
-0.0184506,
-0.0111722,
-0.00816484,
-0.00506144,
-0.00510045,
-0.00779788,
-0.00700539,
-0.0113004,
-0.016152,
-0.015734,
-0.0103691,
-0.00523456,
-0.00194669,
-0.0106982,
-0.0162746,
-0.0301624,
-0.023067,
-0.0161839,
-0.00643408,
-0.00384619,
-0.00728276,
-0.0118841,
-0.010525,
-0.00465712,
0.00637168,
0.0026612,
0.00136943,
0.00945899,
0.0130165,
0.0120453,
0.0170673,
0.016757,
0.0200172,
0.0116381,
0.0102311,
0.00851546,
0.0118323,
0.0124146,
0.0177072,
0.00910054,
0.00326353,
0.0065082,
-0.000745469,
-0.0116994,
-0.0163186,
-0.014439,
-0.0198131,
-0.0262883,
-0.0243128,
-0.0177658,
-0.0061566,
-0.00582387,
0.00362915,
0.00473221,
0.00574613,
-0.00173605,
-0.00249416,
0.00590786,
0.0155493,
0.0253061,
0.0224028,
0.0248105,
0.029948,
0.0332917,
0.0356576,
0.0347862,
0.0373176,
0.0343556,
0.0263886,
0.0207009,
0.0271645,
0.030729,
0.0326871,
0.0291517,
0.026915,
0.0245148,
0.0266372,
0.0251824,
0.0321166,
0.0265537,
0.0238562,
0.0261159,
0.0150338,
-0.00438645,
-0.0120918,
-0.00388829,
0.00435126,
0.00533103,
0.005187,
0.00196418,
-0.00321726,
-0.0115021,
-0.0267856,
-0.0354848,
-0.0324309,
-0.0307405,
-0.0237865,
-0.0220943,
-0.0248605,
-0.0212472,
-0.0199964,
-0.0201399,
-0.0108364,
-0.0100494,
-0.0148656,
-0.0225327,
-0.0207497,
-0.016958,
-0.0105071,
0.000872447,
0.00229673,
0.000728858,
-0.00269363,
-0.00440564,
-0.00116564,
-0.00963687,
-0.0103952,
-0.0076434,
0.0025069,
0.00128805,
-0.0012627,
0.00214054,
0.00794087,
0.00594614,
0.00683949,
0.0101376,
0.00192516,
0.00405017,
-0.00549483,
-0.0152195,
-0.0110447,
0.0029839,
0.00210611,
0.00897687,
0.0020719,
-0.00744442,
-0.0101882,
-0.00761848,
-0.00459303,
0.00212118,
-0.00576639,
-0.00916476,
-0.00872652,
-0.00769416,
-0.00364693,
-0.00565456,
-0.00531029,
-0.00165221,
0.000131309,
-0.000779651,
-0.00164565,
-0.00377377,
-0.00507349,
-0.00167491,
-0.00281676,
-0.00527756,
-0.0158695,
-0.0200437,
-0.0173303,
-0.0177779,
-0.0186501,
-0.0199609,
-0.0265779,
-0.0375415,
-0.0460643,
-0.0516681,
-0.0551667,
-0.0554291,
-0.0634578,
-0.069376,
-0.0668632,
-0.0651298,
-0.0643193,
-0.0739565,
-0.0804199,
-0.0704065,
-0.0634592,
-0.0516051,
-0.0480659,
-0.0594236,
-0.0424132,
-0.0359736,
-0.030978,
-0.0305951,
-0.0226182,
-0.00649048,
0.0130052,
0.0445174,
0.0638426,
0.0691071,
0.0878868,
0.107297,
0.142119,
0.192726,
0.220485,
0.23951,
0.245133,
0.254849,
0.251349,
0.25146,
0.245296,
0.21487,
0.178108,
0.183189,
0.200766,
0.232876,
0.255331,
0.227267,
0.159596,
0.102874,
0.0461543,
-0.00209308,
-0.0295172,
-0.0338019,
-0.0406269,
-0.0674175,
-0.123829,
-0.187307,
-0.230765,
-0.251703,
-0.244543,
-0.227645,
-0.228102,
-0.225095,
-0.218184,
-0.220352,
-0.228549,
-0.226122,
-0.227153,
-0.218365,
-0.206539,
-0.197476,
-0.17253,
-0.143151,
-0.115922,
-0.0925703,
-0.0649436,
-0.0493225,
-0.0270296,
0.00653525,
0.0334796,
0.0509611,
0.0530615,
0.0403347,
0.0487718,
0.0496305,
0.061904,
0.063477,
0.0650812,
0.0722649,
0.0734178,
0.0695473,
0.0579336,
0.0505785,
0.0509019,
0.0568169,
0.0515061,
0.0412891,
0.0400878,
0.033986,
0.0275129,
0.0200167,
0.0156976,
0.0121193,
0.0131549,
0.0158795,
0.0159109,
0.017443,
0.0104284,
0.0113593,
0.0132631,
0.00544532,
0.00925376,
0.00493263,
0.00994702,
0.0017915,
-0.000772708,
-0.00115382,
-0.0056721,
-0.00203688,
0.0113628,
0.00458239,
-0.000537203,
-0.000440801,
-0.000473045,
9.65E-06,
-0.00109962,
-0.00801101,
-0.0142536,
-0.00607404,
0.00163823,
0.0134131,
0.0164652,
0.0125739,
0.00562223,
0.00224454,
-0.00290004,
-0.00188254,
-0.000691139,
-0.000944691,
0.00140183,
0.00667137,
0.00434438,
0.000731284,
-0.00109414,
0.00145636,
0.00611614,
0.00722014,
0.00185435,
0.0063621,
0.00439769,
-0.00306912,
-0.00179871,
-0.0058712,
-0.00865277,
-0.00270045,
-0.00791994,
-0.0052166,
-0.00527187,
-0.00193711,
0.000417606,
-0.000473953,
-0.00364143,
-0.00568703,
-0.00709675,
0.00151488,
0.00558293,
-0.00492639,
-0.00784329,
-0.00494841,
-0.000611698,
0.00273879,
0.0112517,
0.00777267,
0.0101017,
0.00593891,
-0.00099466,
-0.00940557,
-0.00812896,
-0.0016973,
-0.00354356,
-0.00331222,
0.000937252,
-0.00422824,
-0.00699674,
0.00136902,
0.000477455,
-0.00740716,
-0.00383777,
-0.00677832,
-0.0104041,
-0.0173053,
-0.0179348,
-0.00840967,
-0.00329475,
-0.00954906,
-0.00645904,
-0.00632371,
-0.00299366,
0.000132833,
0.000628571,
0.00982179,
0.00246789,
-0.0101047,
-0.00831418,
-0.00186952,
-0.00242141,
-0.00301036,
-0.00897565,
-0.00947377,
-0.000781502,
0.000757901,
-0.00323591,
-0.00693566,
-0.00402851,
0.00225071,
-0.00654446,
-0.00532885,
-0.00235356,
-0.00360397,
-0.00422288,
-0.00517872,
-0.0142365,
-0.00598663,
0.00112569,
0.00791269,
0.00725727,
0.00288488,
-0.00811378,
-0.00550661,
2.97E-05,
0.00299686,
0.0135942,
0.014834,
0.00477871,
-0.00119379,
-0.00469728,
0.00349696,
0.0110946,
-0.00148062,
0.00477624,
0.0096416,
0.010531,
0.00421289,
0.00800753,
0.0107538,
0.0220045,
0.0186234,
0.012105,
0.00763306,
0.0063453,
0.0108361,
0.0123717,
0.0120903,
0.0129096,
0.0120839,
0.0122073,
0.0194345,
0.0201769,
0.0202655,
0.0201905,
0.0209278,
0.0198929,
0.0149868,
0.0149526,
0.0176908,
0.0198071,
0.0243802,
0.0251024,
0.0245661,
0.0224508,
0.0221574,
0.024659,
0.0318993,
0.0296388,
0.0235421,
0.0204062,
0.0283222,
0.0317537,
0.0365249,
0.031144,
0.0233757,
0.0209842,
0.0233182,
0.026327,
0.0274159,
0.0236659,
0.0196013,
0.0212021,
0.0279749,
0.0238901,
0.0147642,
